,,Economic Data Release Calendar,,,,www.dailyfx.com
,,,,,,
,,"May 8, 2016 - May 14, 2016",,,,research@dailyfx.com
,,,,,,
,,,,,,
Central Bank Rates,,,,,,
AUD,1.75%,,NZD,2.25%,EUR,0.00%
CAD,0.50%,,GBP,0.50%,USD,0.50%
CHF,-0.75%,,JPY,-0.10%,,
,,,,,,
,,,,,,
Date,Currency,Event,GMT,EDT,Forecast,Previous
9-May Mon,CNY,CNY Consumer Price Index (YoY),01:30,21:30,2.30%,2.30%
12-May Thu,GBP,GBP Bank of England Inflation Report,11:00,07:00,,
,GBP,GBP Bank of England Rate Decision,11:00,07:00,0.50%,0.50%
,GBP,GBP BOE Asset Purchase Target,11:00,07:00,375B,375B
13-May Fri,EUR,EUR German Gross Domestic Product w.d.a. (YoY),06:00,02:00,1.50%,1.30%
,EUR,EUR German Gross Domestic Product n.s.a. (YoY),06:00,02:00,1.20%,2.10%
,CNY,CNY Aggregate Financing CNY,08:01,04:01,1300.0b,2336.0b
,CNY,CNY New Yuan Loans CNY,08:01,04:01,800.0b,1370.0b
,EUR,EUR Euro-Zone Gross Domestic Product s.a. (YoY),09:00,05:00,1.60%,1.60%
,USD,USD Advance Retail Sales,12:30,08:30,0.80%,-0.40%
,USD,USD U. of Michigan Confidence,14:00,10:00,89.50,89.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
